,NW86,NW35,NW16,35,32,E38,E40,7,NW86-ez-midday,NW35-ez-midday,NW16-ez-midday,35-ez-midday,32-ez-midday,E38-ez-midday,E40-ez-midday,7-ez-midday
NW86,0,,,,,,,,1,,,,,,,
NW35,,0,,,,,,,,1,,,,,,
NW16,,,0,,,,,,,,1,,,,,
35,,,,0,,,,,,,,1,,,,
32,,,,,0,,,,,,,,1,,,
E38,,,,,,0,,,,,,,,1,,
E40,,,,,,,0,,,,,,,,1,
7,,,,,,,,0,,,,,,,,1
NW86-ez-midday,1,,,,,,,,0,,,,,,,
NW35-ez-midday,,1,,,,,,,,0,,,,,,
NW16-ez-midday,,,1,,,,,,,,0,,,,,
35-ez-midday,,,,1,,,,,,,,0,,,,
32-ez-midday,,,,,1,,,,,,,,0,,,
E38-ez-midday,,,,,,1,,,,,,,,0,,
E40-ez-midday,,,,,,,1,,,,,,,,0,
7-ez-midday,,,,,,,,1,,,,,,,,0